responseid;submitdate;age;gender;nationality;familiar_curriculum;familiar_statutes;info_access_online;interest_classes;onboarding;onboarding_free_text;ed_agree_YN;mentor_YN;registrars_office;deans_office;docschool;phd_office;international_office;welcome_center;phd_union;staff_development;ft_house;service_non_above;SUPERVISOR_safe1;SUPERVISOR_safe2;SUPERVISOR_safe3;SUPERVISOR_safe4;SUPERVISOR_safe5;SUPERVISOR_commit1;SUPERVISOR_commit2;SUPERVISOR_commit3;SUPERVISOR_commit4;SUPERVISOR_reflect1;SUPERVISOR_reflect2;SUPERVISOR_reflect3;SUPERVISOR_model1;SUPERVISOR_model2;SUPERVISOR_model3;SUPERVISOR_feedback1;SUPERVISOR_feedback2;dual_supervision;supervision_free_text;nonrelevant_projects;external_collab;encourage_collab;TEAM_collab1;TEAM_collab2;TEAM_collab3;TEAM_comp1;TEAM_comp2;TEAM_comp3;INTEGRATE_group;INTEGRATE_institute;INTEGRATE_docschool;INTEGRATE_phd;INTEGRATE_uni;teaching_hours;lectures_YN;hours_contract;working_hours;CIRCUM_carechild;CIRCUM_careother;CIRCUM_health;CIRCUM_financial;CIRCUM_social;CIRCUM_life;CIRCUM_none;CIRCUM_notsay;CIRCUM_free_text;DEPRESS_1;DEPRESS_2;DEPRESS_3;DEPRESS_4;DEPRESS_5;DEPRESS_6;DEPRESS_7;ANXIETY_1;ANXIETY_2;ANXIETY_3;ANXIETY_4;ANXIETY_5;ANXIETY_6;ANXIETY_7;STRESS_1;STRESS_2;STRESS_3;STRESS_4;STRESS_5;STRESS_6;STRESS_7;harass_exp_YN;harass_nationality;harass_gender;harass_race;harass_age;harass_religion;harass_height;harass_weight;harass_physicalother;harass_sexualorient;harass_socoec;harass_disability;harass_notsay;harass_witness_YN;jobloss_threat;international_pressure;enrol;graduate;docschool_stud;employ_status;employ_status_other;free_text_end;time_spent;nationality_new
1;2024-12-04 21:49:59;24;Other;Austria;5;3;5;4;5;Lorem ipsum.;No unaware existence;No need;Yes;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;2;2;3;2;0;1;0;3;1;4;1;4;4;4;1;4;3;Unofficial;Lorem ipsum.;3;4;5;5;3;1;4;3;4;1;2;2;3;0;2;Yes;31-40;25;Yes;No;No;Yes;Yes;No;Yes;Yes;Lorem ipsum.;2;3;0;2;2;1;1;2;0;3;2;1;2;2;2;1;1;2;0;1;1;No;No;No;Yes;No;No;No;Yes;No;No;Yes;Yes;No;No;No;;2020-08-29 16:02:25;2024-07-08 03:30:04;Geosciences;Personal funds;;Lorem ipsum.;1724;Austria
2;2024-12-10 15:23:32;21;Man;International;2;4;3;5;1;Lorem ipsum.;Yes more than one year;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;5;0;1;1;2;0;0;3;1;3;0;3;4;0;4;5;2;Official;Lorem ipsum.;0;5;3;1;0;0;0;5;4;1;1;0;3;4;19;No;<20;40;Yes;Yes;No;No;No;No;Yes;Yes;Lorem ipsum.;3;0;1;2;2;0;1;3;3;2;2;1;2;2;3;3;0;1;0;1;1;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;2018-09-25 19:55:33;2026-02-21 19:03:39;Mathematics and Scientific Computing;Scholarship;;Lorem ipsum.;1641;International
3;2024-12-14 10:31:57;21;Woman;International;4;2;0;1;1;Lorem ipsum.;No year one;No need;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;0;0;4;4;2;1;3;5;4;4;2;5;3;3;1;1;1;Unofficial;Lorem ipsum.;4;1;3;4;1;1;5;0;4;4;3;3;3;4;22;No;31-40;29;Yes;Yes;Yes;Yes;No;No;No;No;Lorem ipsum.;2;1;0;3;1;2;3;3;3;0;3;3;0;0;2;1;1;0;3;2;3;Yes;No;No;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;No;No;Yes;No;2023-09-03 10:58:08;2024-08-05 10:59:57;Techno-Economics;Second job;;Lorem ipsum.;1885;International
4;2024-11-26 11:28:48;26;Woman;Germany;3;5;5;3;1;Lorem ipsum.;Yes year one;No need;Yes;No;No;Yes;Yes;Yes;Yes;No;No;Yes;3;0;0;1;3;2;0;0;2;4;0;5;4;1;5;1;1;Equal;Lorem ipsum.;4;2;2;5;2;4;1;2;0;2;5;5;3;5;25;Yes;31-40;53;Yes;Yes;Yes;Yes;Yes;No;No;No;Lorem ipsum.;3;3;0;3;1;2;3;0;2;3;0;2;1;1;1;2;3;2;1;0;3;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;Yes;No;;2018-03-03 22:07:29;2027-11-28 00:52:10;Architecture;UnivAss;;Lorem ipsum.;755;Germany
5;2024-11-28 20:30:57;20;Other;Germany;0;3;1;4;1;Lorem ipsum.;Yes more than one year;No unaware definition;Yes;No;No;Yes;Yes;Yes;Yes;No;No;Yes;2;3;4;0;4;2;0;3;5;4;3;5;1;5;0;5;5;Equal;Lorem ipsum.;3;0;0;3;0;4;4;3;1;0;0;0;0;1;10;Yes;21-30;4;Yes;No;Yes;No;Yes;Yes;No;No;;1;3;1;1;2;0;2;2;2;3;2;0;2;3;1;1;1;3;2;3;2;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;No;Yes;;2022-08-30 02:31:52;2027-07-21 11:34:35;Electrical Engineering;UnivAss;;Lorem ipsum.;1036;Germany
6;2024-12-08 04:17:30;36;Not say;International;3;2;0;1;4;Lorem ipsum.;No unaware graduation;No unaware possibility;No;Yes;No;No;Yes;No;No;No;No;No;3;1;0;5;3;5;0;4;3;1;4;5;4;0;1;3;4;Unofficial;Lorem ipsum.;2;4;4;0;1;2;5;0;5;0;0;4;3;5;29;Yes;No employee;24;Yes;No;No;No;Yes;Yes;No;Yes;Lorem ipsum.;0;3;2;0;1;0;1;1;0;3;1;3;3;1;1;1;3;1;1;1;3;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;Yes;No;No;2021-03-22 02:09:30;2026-01-12 03:20:32;Electrical Engineering;UnivAss;;Lorem ipsum.;1976;International
7;2024-11-30 13:31:53;37;Other;International;2;4;4;5;4;Lorem ipsum.;No unaware existence;No unaware possibility;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;5;0;2;2;2;0;0;5;2;2;3;0;5;3;2;1;5;Equal;Lorem ipsum.;0;0;2;0;0;4;2;4;3;0;4;5;2;2;15;No;31-40;17;No;Yes;Yes;No;Yes;No;Yes;No;;0;1;3;2;2;1;3;2;2;0;3;0;2;1;2;3;0;2;3;1;3;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;2018-04-11 01:46:37;2024-09-24 00:54:14;Techno-Economics;ProjectAss Center;;Lorem ipsum.;655;International
8;2024-11-11 21:47:26;35;Not say;International;0;3;5;3;2;Lorem ipsum.;No unaware graduation;No unaware definition;Yes;Yes;No;Yes;Yes;No;No;No;Yes;No;3;4;3;3;2;3;2;5;0;2;3;5;1;1;1;4;5;Official;Lorem ipsum.;3;3;2;4;4;5;4;2;3;2;0;4;1;4;20;Yes;No employee;27;Yes;No;Yes;Yes;No;No;Yes;No;Lorem ipsum.;2;1;3;2;0;3;0;0;2;2;3;3;2;0;1;2;2;3;1;2;0;No;No;Yes;Yes;No;No;No;No;Yes;No;No;Yes;Yes;No;Yes;No;2020-11-03 18:46:02;2025-09-22 00:27:51;Mathematics and Scientific Computing;UnivAss;;Lorem ipsum.;805;International
9;2024-11-21 02:07:38;35;Not say;Austria;0;0;1;1;0;Lorem ipsum.;No year one;No unaware definition;Yes;No;No;Yes;No;No;No;Yes;Yes;No;4;3;2;4;3;1;5;5;1;5;2;4;5;3;5;4;1;Unofficial;Lorem ipsum.;2;4;0;2;2;1;1;4;0;0;2;5;0;1;9;Yes;<20;29;No;Yes;No;Yes;No;No;No;Yes;;1;2;2;0;1;0;1;3;3;2;0;1;2;1;1;3;2;1;0;0;2;No;Yes;Yes;No;No;No;No;No;Yes;Yes;No;Yes;No;Yes;Yes;;2020-10-31 09:36:25;2029-09-16 20:52:10;Computer Science;UnivAss;;Lorem ipsum.;1343;Austria
10;2024-12-02 06:47:49;21;Not say;International;3;2;0;1;4;Lorem ipsum.;Yes more than one year;No conflict supervisor;Yes;No;Yes;Yes;No;Yes;No;No;No;Yes;4;4;2;5;4;3;1;2;0;4;0;2;1;2;3;3;2;Equal;Lorem ipsum.;5;1;1;2;5;2;0;0;4;3;2;1;3;0;0;No;21-30;40;No;No;No;No;No;No;No;No;;3;2;0;0;1;0;3;2;1;3;1;2;3;0;3;0;1;2;1;2;0;No;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;2020-12-03 03:17:53;2028-03-14 17:37:44;Techno-Economics;UnivAss;;Lorem ipsum.;602;International
